Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Assignee,Assignee Id,Created,Updated,Labels,Labels,Labels,Labels
PART-2442,24829,DispatchHealth/partner-product:client/package.json - Prototype Pollution in json5,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:46 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2443,24808,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in ansi-regex,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:40 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2444,24827,DispatchHealth/partner-product:client/package.json - Command Injection in lodash.template,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:46 PM,04/Apr/23 10:24 AM,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2445,24828,DispatchHealth/partner-product:client/package.json - Reverse Tabnabbing in istanbul-reports,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:46 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2446,24809,DispatchHealth/partner-product:client/package.json - Prototype Pollution in immer,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:40 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2447,24821,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:43 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2448,24822,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:43 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2449,24820,DispatchHealth/partner-product:client/package.json - Prototype Pollution in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:42 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2450,24825,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in loader-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:45 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2451,24826,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in minimatch,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:45 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2452,24823,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in ansi-html,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:43 PM,04/Apr/23 10:24 AM,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2453,24824,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in loader-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 11:45 PM,04/Apr/23 10:23 AM,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2455,26701,Update context/Statsig.js to TS file,Task,2.0,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,24/Mar/23 9:38 AM,28/Mar/23 9:24 AM,part/FE,,,
PART-2456,26706,FE: upgrade React Query package from v3.X to v4.x,Task,,To Do,PART-234,Express Tech Excellence,,,24/Mar/23 9:53 AM,24/Mar/23 9:53 AM,,,,
PART-2468,26775,"Decouple market ""nearest"" from market ""status"" service",Task,,To Do,PART-234,Express Tech Excellence,,,24/Mar/23 1:37 PM,24/Mar/23 1:37 PM,part/Backend,,,
PART-2469,27064,Update yaml to use official docker orb,Task,,To Do,PART-234,Express Tech Excellence,Ashton Mitchell,61a3edabb0b630006afda9e4,27/Mar/23 10:07 AM,30/Mar/23 1:39 PM,,,,
PART-2470,24441,DispatchHealth/services - Use of Password Hash With Insufficient Computational Effort,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 9:04 PM,30/Mar/23 1:44 PM,Legacy-Debt,Partner,Services-Repo,sev-low
PART-2477,27599,create logEvent utility,Task,3.0,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,29/Mar/23 11:02 AM,12/Apr/23 5:54 PM,,,,
PART-2478,27611,Implement Segment Event Tracking,Task,,To Do,PART-234,Express Tech Excellence,,,29/Mar/23 11:08 AM,18/Apr/23 1:25 PM,,,,
PART-2489,27730,Source code should not be visible in production browser console,Task,,To Do,PART-234,Express Tech Excellence,,,29/Mar/23 4:34 PM,30/Mar/23 1:39 PM,,,,
PART-2497,28048,FF Removal: Remove Risk Strat Flags,Task,,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,31/Mar/23 11:19 AM,31/Mar/23 11:20 AM,,,,
PART-2498,28049,FF Removal: partner_express_log_payloads,Task,,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,31/Mar/23 11:21 AM,31/Mar/23 11:24 AM,,,,
PART-2499,28050,FF Removal: partner_express_service_line_information_enabled,Task,1.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,31/Mar/23 11:21 AM,20/Apr/23 11:28 AM,,,,
PART-2500,28051,FF Removal: pop_health_service,Task,,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,31/Mar/23 11:22 AM,31/Mar/23 11:24 AM,,,,
PART-2501,28052,FF Removal: partner_express_sso_enabled,Task,1.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,31/Mar/23 11:24 AM,18/Apr/23 1:27 PM,,,,
PART-2502,28053,FF Removal: partner_express_nse_v2_enabled,Task,,Done,PART-234,Express Tech Excellence,Ashton Mitchell,61a3edabb0b630006afda9e4,31/Mar/23 11:25 AM,05/Apr/23 8:36 AM,,,,
PART-2503,28054,FF Removal: show-paginated-care-requests-table,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,31/Mar/23 11:27 AM,06/Apr/23 11:10 AM,,,,
PART-2504,28056,FF Removal: enable-care-request-timeline,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,31/Mar/23 11:27 AM,31/Mar/23 11:28 AM,,,,
PART-2505,28057,FF Removal: enable-risk-stratification,Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,31/Mar/23 11:28 AM,31/Mar/23 11:28 AM,,,,
PART-2506,28058,FF Removal: after-hours-care-requests-enabled,Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,31/Mar/23 11:29 AM,31/Mar/23 11:29 AM,,,,
PART-2507,28060,FF Removal: show-care-request-refactored-table,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,31/Mar/23 11:30 AM,31/Mar/23 11:30 AM,,,,
PART-2508,28061,FF Removal: enable_show_old_care_requests,Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,31/Mar/23 11:31 AM,31/Mar/23 11:31 AM,,,,
PART-2509,28063,FF Removal: enable_care_request_search,Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,31/Mar/23 11:31 AM,31/Mar/23 11:32 AM,,,,
PART-2520,28797,Implement Segment tracking,Task,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,05/Apr/23 12:03 PM,25/Apr/23 11:23 AM,part/FE,,,
PART-2521,28799,logEvent when clientConfiguration dynamic config empty,Task,,To Do,PART-234,Express Tech Excellence,,,05/Apr/23 12:07 PM,19/Apr/23 12:57 PM,part/FE,,,
PART-2522,28802,Remove fallbackConfig in Statsig/getClientConfiguration,Task,,To Do,PART-234,Express Tech Excellence,,,05/Apr/23 12:15 PM,05/Apr/23 12:15 PM,part/FE,,,
PART-2524,28806,Upgrade Node,Task,2.0,In Progress,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,05/Apr/23 12:32 PM,20/Apr/23 10:25 AM,part/FE,,,
PART-2526,28993,Configure backend connection with insurance service,Task,2.0,Canceled,PART-2394,Insurance Restructure,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,06/Apr/23 10:52 AM,20/Apr/23 10:45 AM,part/Backend,,,
PART-2549,29725,estimate an effort for migrating to vite from CRA,Task,2.0,Done,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,11/Apr/23 11:45 AM,25/Apr/23 10:13 AM,,,,
PART-2569,30337, Fix Flaky test('should show total pages count in pagination') - Care Requests Page,Task,1.0,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,14/Apr/23 11:11 AM,20/Apr/23 11:29 AM,part/FE,,,
PART-2576,30868,(BE) Add payer_id and network_id to the insurance table,Task,1.0,Done,PART-2394,Insurance Restructure,Antonio Antillon,61f81bb630f6b8006aa75942,18/Apr/23 1:13 PM,27/Apr/23 12:32 PM,part/Backend,,,
PART-2577,30869,(BE) Return insurance payer_id and network_id as part of the patient insurance data,Task,1.0,Done,PART-2394,Insurance Restructure,Antonio Antillon,61f81bb630f6b8006aa75942,18/Apr/23 1:14 PM,27/Apr/23 12:32 PM,part/Backend,,,
PART-2578,30870,Edit Insurance /Patient - autopopulate payer &  network ,Task,1.0,To Do,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,18/Apr/23 1:15 PM,27/Apr/23 2:34 PM,part/Frontend,,,
PART-2579,31003,Flaky backend test - user_profile last_login,Task,1.0,Done,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,19/Apr/23 10:18 AM,24/Apr/23 6:06 PM,part/Backend,,,
PART-2580,31050,Fix ServiceLineInformation flaky test,Task,1.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,19/Apr/23 11:51 AM,20/Apr/23 11:28 AM,,,,
PART-2585,31228,Default insurance + feature gate logic,Task,1.0,Done,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,20/Apr/23 10:56 AM,24/Apr/23 4:48 PM,part/Frontend,,,
PART-2586,31229,(FE) Add payer_id and network_id to the insurance object submited on the care request,Task,1.0,To Do,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,20/Apr/23 10:57 AM,27/Apr/23 5:48 PM,part/Frontend,,,
PART-2596,31929,Replace all .ts .js extensions to .jsx .tsx to make Vite work,Task,1.0,Code Review,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,25/Apr/23 10:11 AM,25/Apr/23 11:15 AM,part/Frontend,,,
PART-2597,31930,Fix errors coming from Vite transition,Task,2.0,Code Review,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,25/Apr/23 10:11 AM,25/Apr/23 11:15 AM,part/Frontend,,,
PART-2598,31931,Replace all global style variables with global theme and usage everywhere (Vite),Task,3.0,In Progress,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,25/Apr/23 10:13 AM,25/Apr/23 11:15 AM,part/Frontend,,,
PART-2603,31985,Test Cases - Insurance Restructure,Task,5.0,To Do,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,25/Apr/23 1:07 PM,28/Apr/23 10:59 AM,,,,
PART-2604,31994,Backend: move sso related attributes from the partner to the sso_configuration table,Task,,To Do,PART-234,Express Tech Excellence,,,25/Apr/23 1:48 PM,25/Apr/23 1:48 PM,part/Backend,,,
PART-2613,32387,Update DASHBOARD_AUTH0_BASE_URL env var,Task,,To Do,PART-2394,Insurance Restructure,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,27/Apr/23 3:47 PM,28/Apr/23 2:30 PM,,,,
PART-2614,32388,Refactor /Components dir,Task,2.0,To Do,PART-234,Express Tech Excellence,,,27/Apr/23 3:50 PM,27/Apr/23 3:58 PM,,,,
PART-2616,32486,Remove PartnerProduct::Markets::StatusService from station,Task,,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,28/Apr/23 10:52 AM,28/Apr/23 10:54 AM,,,,
